ApplicationDate,Age,AnnualIncome,CreditScore,LoanAmount,LoanDuration,EducationLevel,Experience,EmploymentStatus,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
1/1/2018,45,39948,617,13152,48,Master,22,Employed,Married,2,Own,183,0.354417919,1,2,0.3583356,0,Home,0,29,9,7632,1202,146111,19183,3329,0.724972046,11,126928,0.199652,0.22758963,419.8059916,0.181077198,0,49
1/2/2018,38,39709,628,26045,48,Associate,15,Employed,Single,1,Mortgage,496,0.087826968,5,3,0.33027367,0,Debt Consolidation,0,21,9,4627,3460,53204,9595,3309.083333,0.935132099,3,43609,0.207045,0.201077121,794.0542382,0.389852448,0,52
1/3/2018,47,40724,570,17627,36,Bachelor,26,Employed,Married,2,Rent,902,0.137414104,2,0,0.244729109,0,Education,0,20,22,886,895,25176,128874,3393.666667,0.872240611,6,5205,0.217627,0.21254801,666.4066877,0.462156965,0,52
1/4/2018,58,69084,545,37898,96,High School,34,Employed,Single,1,Mortgage,755,0.267587137,2,1,0.436244265,0,Home,0,27,10,1675,1217,104822,5370,5757,0.896154707,5,99452,0.300398,0.300910849,1047.50698,0.313098312,0,54
1/5/2018,37,103264,594,9184,36,Associate,17,Employed,Married,1,Mortgage,274,0.320535325,0,0,0.078884212,0,Debt Consolidation,0,26,27,1555,4981,244305,17286,8605.333333,0.941368739,5,227019,0.197184,0.175990179,330.1791405,0.070209847,1,36
1/6/2018,37,178310,626,15433,72,Master,16,Self-Employed,Married,0,Rent,732,0.102211337,5,1,0.259366401,0,Debt Consolidation,1,16,19,2118,1223,67914,40843,14859.16667,0.756079359,5,27071,0.217433,0.217601155,385.5770742,0.075211289,1,44
1/7/2018,58,51250,564,12741,48,High School,39,Employed,Married,0,Rent,337,0.367380343,6,1,0.127472703,0,Other,0,21,18,5161,1735,65624,43894,4270.833333,0.884275127,5,21730,0.225741,0.205270968,391.3003517,0.170528863,0,50
1/8/2018,49,97345,516,19634,12,High School,23,Employed,Divorced,5,Mortgage,288,0.209767583,5,0,0.395567635,0,Other,0,19,11,781,74,50177,11556,8112.083333,0.933492414,5,38621,0.226634,0.209112942,1827.360055,0.260766559,1,42.4
1/9/2018,34,116841,603,55353,60,Bachelor,12,Employed,Divorced,5,Own,638,0.192701165,3,0,0.31323326,1,Debt Consolidation,0,25,29,1157,708,29632,49940,9736.75,0.728396927,3,7711,0.258853,0.291539425,1762.199026,0.246509259,0,61
1/10/2018,46,40615,612,25443,12,Associate,19,Employed,Married,4,Other,704,0.512464644,3,2,0.505148027,0,Other,0,23,10,1028,446,129664,12852,3384.583333,0.61532321,3,116812,0.184443,0.197270602,2353.577424,0.903383703,0,53
